optS0 = -1603.15439809
tdS0  = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
D145 D(49,44,45,43)      179.6761      179.8955      179.9205
D146 D(49,44,45,55)       -0.3670       -0.1151       -0.1303
D147 D(43,45,55,56)      179.6908     -179.9546      179.9116
D148 D(44,45,55,56)       -0.2674        0.0557       -0.0392
D149 D(35,50,51,52)      179.7668     -179.9898      179.7882
D150 D(35,50,51,53)      -61.2653      -61.0378      -61.2677
D151 D(35,50,51,54)       60.7801       61.0585       60.8347
D152 D(45,55,56,57)     -179.7738     -179.9659     -179.9689
D153 D(45,55,56,58)      -60.7898      -61.0194      -61.0068
D154 D(45,55,56,59)       61.2572       61.0845       61.0766
